trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.5, 'e': 0.29048849430996376}",25,18,-18.014049411254287,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2875836093668641}",20,14,11.383595240345496,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.28470777327319546}",20,4,17.440802099990695,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2818606955404635}",25,17,-25.2067286084108,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.27904208858505886}",20,13,7.926906837016386,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992083}",30,0,-29.908890784491522,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.2734891510222162}",25,0,-95.21820777790472,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
130,False,"{'a': 0.5, 'e': 0.27075425951199406}",30,6,-1.027886234859519,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2680467169168741}",20,11,16.808112008824928,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.26536624974770534}",20,6,-26.345311674699484,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502283}",20,10,20.220284826448335,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.26008546137772603}",20,16,6.798447206470197,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.25748460676394874}",20,13,14.120012070484368,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2549097606963093}",20,0,9.437877934814349,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.2523606630893462}",20,13,-41.27872485058557,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.2498370564584527}",30,14,10.256530290469646,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386818}",30,0,9.932352498970495,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.24486529903492948}",20,0,28.16293395746781,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.2424166460445802}",20,15,10.163538009485993,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2399924795841344}",25,12,26.636463580783513,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",20,10,13.828424820138267,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23521662924041012}",20,5,-42.44292555875419,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",25,15,4.643772292765577,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",30,17,-27.643832937436162,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",20,0,13.783559785720275,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",25,0,-8.754887233722084,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.2236886739786474}",20,13,11.041689382349281,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886091}",25,13,3.8307746262329614,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.2192372693664723}",25,9,6.366499049820997,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.21704489667280757}",20,14,8.247850300949985,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.2148744477060795}",20,8,-1.2890603425952278,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.2127257032290187}",35,16,-34.72333975236035,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.21059844619672852}",25,5,1.464874416371767,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476124}",20,11,17.910750621799505,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2064075371174136}",20,14,0.9836687579054144,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20434346174623946}",25,18,12.757503305496043,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2023000271287771}",25,10,23.90648404393793,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20027702685748933}",25,16,14.829618835944936,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891443}",30,22,17.307276498138304,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19629151402302528}",20,11,-25.174016817853254,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.19432859888279502}",20,6,14.06939577623507,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19238531289396707}",20,11,8.063655046779557,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.1904614597650274}",30,23,13.30822945922795,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.1885568451673771}",20,6,16.559146744776854,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",25,0,-52.21004968984306,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.1848045639485463}",20,8,9.639295447527578,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906084}",30,24,10.182414810054041,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597024}",20,16,8.42434553099017,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471053}",20,7,7.8895904401907915,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17752252675876343}",30,14,14.60882584218869,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.1757473014911758}",25,8,15.965171768638822,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17398982847626404}",25,13,9.88792602274843,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.1722499301915014}",35,21,25.621694948480933,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17052743088958636}",25,6,31.907508316120087,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.1688221565806905}",20,9,12.869503627439858,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.1671339350148836}",20,7,12.592919417478823,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.16546259566473476}",30,19,0.3721648043097052,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16380796970808742}",30,18,14.209495499125767,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100654}",20,8,22.957312012249723,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16054819111089647}",20,12,5.793946580906627,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.1589427091997875}",30,20,-20.194396677234355,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
184,False,"{'a': 0.5, 'e': 0.15735328210778962}",20,11,19.019596105449896,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.15577974928671173}",30,11,38.24868789812409,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.15422195179384462}",20,12,7.851377732358628,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.15267973227590617}",25,9,22.45708555179284,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.1511529349531471}",20,10,-23.092626404001678,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
189,False,"{'a': 0.5, 'e': 0.14964140560361563}",30,21,13.924059742840356,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.14814499154757946}",20,8,20.568661773122553,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.14666354163210368}",20,1,12.901046036384438,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14519690621578263}",30,13,23.82714507703321,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.1437449371536248}",20,14,12.922261870192493,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.14230748778208857}",20,10,16.673801419397122,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.14088441290426768}",20,15,-2.6622390378069336,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
